job query,jobs,people query,people,people/jobs ratio
react developer,24849,react developer,307000,12.35
vue developer,14019,vue developer,266000,18.97
typescript,33555,typescript,811000,24.17
python developer,31060,python developer,244000,7.86
data analyst,328974,data analyst,2840000,8.63
front end developer,12094,front end developer,478000,39.52
backend developer,33581,backend developer,231000,6.88
full stack developer,32633,full stack developer,937000,28.71
mobile developer,14890,mobile developer,335000,22.50
iOS developer,21772,iOS developer,149000,6.84
Android developer,27271,Android developer,262000,9.61
Java developer,37086,Java developer,708000,19.09
Node.js developer,23995,Node.js developer,88000,3.67
PHP developer,8591,PHP developer,255000,29.68
Ruby on Rails developer,24106,Ruby on Rails developer,158000,6.55
DevOps engineer,31244,DevOps engineer,431000,13.79
Cloud architect,29362,Cloud architect,186000,6.33
Machine learning engineer,84572,Machine learning engineer,226000,2.67
Game developer,1335,Game developer,151000,113.11
UI/UX designer,9238,UI/UX designer,438000,47.41
Front-end web developer,10584,Front-end web developer,299000,28.25
Back-end web developer,32545,Back-end web developer,101000,3.10
Database administrator,261438,Database administrator,306000,1.17
Security engineer,124269,Security engineer,977000,7.86
Artificial intelligence engineer,20612,Artificial intelligence engineer,104000,5.05
Blockchain developer,21806,Blockchain developer,51000,2.34
graphql,9781,graphql,174000,17.79
react native,15017,react native,353000,23.51
nestJS,515,nestJS,53000,102.91
django,5772,django,514000,89.05
Kubernetes,54760,Kubernetes,569000,10.39
